q0,q1,q2,q3,acc_x,acc_y,acc_z
0.38,0.69,0.13,-0.6,-0.9,-3.19,-0.12
0.38,0.69,0.13,-0.6,-0.6,-3.11,0.32
0.38,0.69,0.13,-0.6,-0.09,-2.61,0.31
0.37,0.69,0.13,-0.6,0.03,-2.41,0.11
0.37,0.7,0.13,-0.6,-0.25,-2.54,-0.19
0.37,0.7,0.14,-0.6,0.02,-2.37,0.37
0.37,0.69,0.15,-0.6,0.05,-2.42,0.43
0.36,0.69,0.16,-0.6,0.18,-2.05,0.15
0.36,0.69,0.17,-0.61,0.33,-1.75,0.28
0.35,0.69,0.18,-0.61,0.33,-1.71,0.38
0.35,0.68,0.2,-0.61,0.0,-2.01,0.37
0.35,0.68,0.21,-0.62,0.15,-1.88,0.69
0.34,0.67,0.22,-0.62,0.37,-1.72,0.81
0.34,0.67,0.23,-0.62,0.65,-1.3,1.08
0.33,0.66,0.24,-0.63,0.41,-1.04,0.57
0.33,0.66,0.25,-0.63,0.49,-0.81,0.64
0.32,0.66,0.25,-0.63,0.58,-0.34,0.28
0.31,0.65,0.26,-0.64,0.7,0.54,0.0
0.31,0.65,0.26,-0.64,0.99,0.95,0.32
0.3,0.65,0.27,-0.65,1.1,1.37,0.07
0.29,0.64,0.27,-0.66,0.58,1.31,-0.67
0.29,0.64,0.27,-0.66,0.28,1.29,-0.81
0.28,0.63,0.28,-0.66,0.33,1.68,-0.52
0.28,0.62,0.29,-0.67,0.41,1.75,0.48
0.28,0.62,0.3,-0.67,0.09,1.58,0.01
0.28,0.61,0.31,-0.67,-1.06,1.36,-0.83
0.28,0.61,0.31,-0.67,-0.83,1.84,-0.09
0.28,0.6,0.32,-0.68,-0.68,1.99,-0.05
0.28,0.6,0.32,-0.68,-0.74,2.05,-0.25
0.28,0.6,0.33,-0.68,-1.27,1.82,-0.45
0.28,0.59,0.33,-0.68,-1.17,1.73,-0.29
0.28,0.59,0.34,-0.68,-0.98,1.66,0.02
0.28,0.59,0.34,-0.67,-0.82,1.66,-0.11
0.28,0.59,0.34,-0.67,-0.71,1.86,0.06
0.28,0.6,0.34,-0.67,-0.29,2.3,0.05
