roll,pitch,yaw,acc_x,acc_y,acc_z
-3.298968075728748,-9.2068962213459,-9.845822367852564,0.0,0.02,-0.04
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.01,0.03,-0.03
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.05,0.22,-0.08
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.12,0.14,-0.14
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.05,-0.24,-0.07
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.28,0.0,0.3
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.26,-0.29,0.38
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.32,-0.75,0.49
-3.298968075728748,-9.2068962213459,-9.845822367852564,-0.2,-1.51,0.87
-2.5489184240200427,-8.325697806603012,-10.012029163914308,-0.09,-1.72,0.98
-2.5489184240200427,-8.325697806603012,-10.012029163914308,-0.04,-2.59,1.1
-2.5489184240200427,-8.325697806603012,-10.012029163914308,-0.53,-3.68,0.98
-1.7686114655447391,-7.515823689452403,-10.0252868886225,-0.45,-4.43,1.62
-1.7686114655447391,-7.515823689452403,-10.0252868886225,-1.64,-3.32,0.78
-0.96906696415941,-6.592089493560076,-11.751255486914317,-2.41,-4.0,0.52
-0.96906696415941,-6.592089493560076,-11.751255486914317,-2.29,-4.82,1.11
-0.20730040825355248,-5.750687478691948,-11.698258353830989,-2.57,-4.9,0.33
