q0,q1,q2,q3,acc_x,acc_y,acc_z
0.32,0.73,-0.04,-0.6,-0.88,-3.32,1.03
0.33,0.73,-0.06,-0.59,0.0,-3.09,1.54
0.33,0.73,-0.06,-0.59,0.32,-3.25,2.0
0.33,0.73,-0.06,-0.59,0.2,-3.37,1.51
0.33,0.73,-0.07,-0.59,0.23,-3.32,0.67
0.32,0.74,-0.06,-0.59,0.5,-3.04,0.66
0.31,0.74,-0.06,-0.6,1.12,-2.27,0.72
0.3,0.74,-0.05,-0.6,1.67,-1.93,0.0
0.29,0.74,-0.04,-0.6,1.49,-1.93,-0.4
0.28,0.74,-0.02,-0.61,1.25,-1.78,-1.22
0.27,0.73,0.01,-0.62,1.99,-0.85,-0.71
0.27,0.73,0.03,-0.63,1.66,-1.0,-0.87
0.27,0.72,0.06,-0.64,1.0,-0.97,-0.97
0.26,0.71,0.1,-0.64,0.56,-1.48,-0.45
0.26,0.7,0.13,-0.65,0.56,-1.35,-0.27
0.26,0.69,0.17,-0.66,0.28,-0.97,1.28
0.26,0.67,0.21,-0.66,-0.29,-0.63,1.24
0.25,0.67,0.23,-0.66,-0.5,-0.44,1.44
0.24,0.66,0.26,-0.67,-1.18,-0.15,1.76
0.23,0.64,0.29,-0.67,-1.85,0.68,1.82
0.22,0.64,0.3,-0.68,-2.25,1.01,1.64
0.2,0.63,0.31,-0.68,-2.97,1.32,0.85
0.18,0.62,0.33,-0.69,-2.89,1.74,0.15
0.17,0.61,0.33,-0.7,-2.88,2.08,0.28
0.15,0.6,0.34,-0.7,-2.85,2.73,-0.86
0.14,0.6,0.34,-0.71,-2.36,3.42,-0.79
0.14,0.59,0.35,-0.71,-1.74,3.98,-0.41
0.13,0.59,0.35,-0.72,-1.44,4.0,-0.75
