roll,pitch,yaw,acc_x,acc_y,acc_z
-110.09867382721363,76.21579484130726,-79.92647512883593,-2.37,-4.93,-0.28
-107.08409965777653,71.58620755730823,-80.09694971921336,-2.55,-5.29,-0.25
-104.0362434679265,71.01433484822189,-76.39026810418781,-1.65,-5.68,0.84
-105.0369413457853,69.78457025905195,-76.13897243697885,-1.36,-6.08,0.0
-104.3167591189332,68.43481498475732,-76.75948008481281,-0.89,-6.13,0.75
97.56377042441665,79.67278581830725,-257.8864774182096,-1.67,4.76,0.93
97.56377042441665,79.67278581830725,-257.8864774182096,-1.59,4.97,0.78
91.03743593731699,76.31231429625159,-261.63236838382744,-1.75,5.37,-0.35
90.98493069895498,78.81323611904001,-264.7616288754339,-1.34,5.78,-0.05
90.98493069895498,78.81323611904001,-264.7616288754339,-1.45,5.1,-0.37
85.88705676188104,78.57938669697725,89.29602301338154,-1.25,4.7,-0.44
85.66768601681152,76.16778281653647,-268.1816970355482,-0.47,4.41,0.22
85.4574406373321,78.99184039259929,88.424005766625,-0.42,4.15,0.65
84.92786712748553,79.42015590387753,87.45976660567183,-0.71,3.1,0.67
84.92786712748553,79.42015590387753,87.45976660567183,-0.4,2.88,0.86
84.6375108491402,83.51426032112242,83.70505366151568,-0.22,3.13,0.79
91.47299544162874,84.38393507569091,-269.4468165594788,0.18,3.3,0.77
