roll,pitch,yaw,acc_x,acc_y,acc_z
-7.370352508800127,-11.759261208490873,-16.280764779022938,0.49,0.95,0.18
-7.370352508800127,-11.759261208490873,-16.280764779022938,-0.04,-0.48,0.16
-6.3038990662473315,-12.427261125779342,-17.912055313436973,-0.03,-0.87,0.29
-5.5150731318284505,-13.14404704747006,-16.359734317532386,-0.13,-1.02,0.34
-4.800638739425284,-12.204408442281435,-16.60835918291885,0.36,-1.88,0.52
-4.800638739425284,-12.204408442281435,-16.60835918291885,-0.54,-1.0,0.51
-4.800638739425284,-12.204408442281435,-16.60835918291885,-0.83,-1.3,0.45
-3.870374405724224,-12.897054233358777,-16.64527012787619,-0.66,-3.4,0.97
