q0,q1,q2,q3,acc_x,acc_y,acc_z
1.0,-0.04,0.02,-0.0,0.1,0.0,-0.33
1.0,-0.04,0.02,-0.0,0.09,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.03,-0.36
1.0,-0.04,0.02,-0.0,-0.02,0.04,-0.4
1.0,-0.04,0.02,-0.0,-0.04,0.05,-0.44
1.0,-0.04,0.02,-0.0,0.03,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.1,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.08,0.01,-0.33
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.38
1.0,-0.04,0.02,-0.0,-0.02,0.04,-0.43
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.08,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.09,0.01,-0.33
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.37
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.39
1.0,-0.04,0.02,-0.0,0.08,0.03,-0.32
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.4
1.0,-0.04,0.02,-0.0,0.02,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.37
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.39
1.0,-0.04,0.02,-0.0,0.03,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.38
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.39
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.02,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.39
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.09,0.01,-0.31
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.06,-0.35
1.0,-0.04,0.02,-0.0,-0.02,0.05,-0.39
1.0,-0.04,0.02,-0.0,-0.01,0.04,-0.43
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.08,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.09,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,-0.01,0.04,-0.38
1.0,-0.04,0.02,-0.0,-0.01,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.09,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.09,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.08,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.37
1.0,-0.04,0.02,-0.0,-0.01,0.05,-0.4
1.0,-0.04,0.02,-0.0,0.0,0.07,-0.38
1.0,-0.04,0.02,-0.0,0.02,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.08,-0.01,-0.31
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.38
1.0,-0.04,0.02,-0.0,-0.01,0.07,-0.4
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.01,-0.38
1.0,-0.04,0.02,-0.0,0.08,-0.01,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.05,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.38
1.0,-0.04,0.02,-0.0,-0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.4
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.35
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.33
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.07,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.34
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.08,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.03,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.41
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.07,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.07,-0.35
1.0,-0.04,0.02,-0.0,-0.01,0.02,-0.42
1.0,-0.04,0.02,-0.0,-0.01,0.01,-0.39
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.09,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.09,0.06,-0.34
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.4
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.01,0.06,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.08,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.35
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.04,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.07,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.06,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.05,-0.33
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.05,-0.38
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.38
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.32
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.39
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.06,-0.36
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.32
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.39
