q0,q1,q2,q3,acc_x,acc_y,acc_z
0.26,0.71,0.15,-0.64,-0.41,-2.72,0.17
0.26,0.71,0.14,-0.63,-0.39,-2.81,0.18
0.27,0.72,0.13,-0.63,-0.26,-2.83,0.25
0.28,0.72,0.12,-0.62,-0.27,-3.12,0.12
0.29,0.72,0.12,-0.62,-0.28,-3.24,0.05
0.3,0.72,0.11,-0.61,-0.06,-3.32,0.31
0.31,0.72,0.1,-0.61,0.25,-3.18,0.54
0.32,0.72,0.1,-0.6,0.38,-3.1,0.32
0.32,0.73,0.09,-0.6,0.54,-2.93,0.55
0.33,0.73,0.09,-0.59,0.56,-3.13,0.58
0.33,0.73,0.08,-0.59,0.42,-3.14,0.47
0.34,0.73,0.09,-0.59,0.24,-2.81,0.17
0.34,0.73,0.09,-0.59,0.8,-2.62,0.45
0.34,0.73,0.09,-0.59,0.9,-2.47,0.42
0.34,0.73,0.1,-0.59,1.01,-2.24,0.18
0.34,0.72,0.11,-0.59,1.11,-2.08,0.14
0.33,0.72,0.12,-0.6,1.16,-1.91,0.14
0.33,0.71,0.14,-0.6,1.14,-1.72,0.0
0.32,0.71,0.15,-0.61,1.28,-1.41,0.13
0.32,0.7,0.16,-0.61,1.1,-1.32,0.13
0.31,0.69,0.18,-0.62,0.65,-1.03,-0.09
0.3,0.69,0.2,-0.63,0.32,-0.64,0.18
0.29,0.68,0.21,-0.64,0.04,-0.55,0.07
0.28,0.67,0.23,-0.65,-0.74,-0.47,0.01
0.27,0.66,0.25,-0.66,-0.8,0.14,0.58
0.26,0.66,0.25,-0.66,-1.08,0.25,0.55
0.25,0.65,0.27,-0.67,-1.54,0.57,0.07
0.24,0.64,0.28,-0.68,-1.64,0.98,0.01
0.23,0.63,0.29,-0.68,-1.61,1.09,0.11
0.23,0.63,0.3,-0.68,-1.71,1.22,0.01
0.22,0.62,0.3,-0.69,-1.42,1.64,0.1
0.22,0.62,0.3,-0.69,-1.21,1.86,0.37
0.21,0.62,0.31,-0.69,-1.0,1.88,-0.22
0.21,0.61,0.31,-0.69,-0.57,2.03,0.0
0.21,0.61,0.31,-0.69,-0.44,2.11,-0.05
0.21,0.61,0.31,-0.69,-0.33,2.16,0.06
0.21,0.61,0.31,-0.69,-0.05,2.71,-0.59
0.21,0.61,0.31,-0.69,0.17,2.98,-0.58
0.21,0.61,0.32,-0.69,0.94,3.59,0.15
0.21,0.61,0.32,-0.69,1.03,3.3,0.38
